Date,GrAge_Declaration,Statut_Vaccinal,Nb_Nvx_Cas
2021-07-19,50-59 ans,Vacciné 1 dose,2
2021-07-19,50-59 ans,Vacciné 2 doses,2
2021-07-19,60-69 ans,Non-vacciné,1
2021-07-19,60-69 ans,Vacciné 1 dose,1
2021-07-19,60-69 ans,Vacciné 2 doses,2
2021-07-19,70-79 ans,Non-vacciné,0
2021-07-19,70-79 ans,Vacciné 1 dose,1
2021-07-19,70-79 ans,Vacciné 2 doses,0
2021-07-19,80-89 ans,Non-vacciné,0
2021-07-19,80-89 ans,Vacciné 1 dose,0
2021-07-19,80-89 ans,Vacciné 2 doses,0
2021-07-19,90 ans et plus,Non-vacciné,0
2021-07-19,90 ans et plus,Vacciné 1 dose,0
2021-07-19,90 ans et plus,Vacciné 2 doses,0
2021-07-19,Inconnu,Non-vacciné,0
2021-07-19,Inconnu,Vacciné 1 dose,0
2021-07-19,Inconnu,Vacciné 2 doses,0
2021-07-20,0-9 ans,Non-vacciné,11
2021-07-20,0-9 ans,Vacciné 1 dose,0
2021-07-20,0-9 ans,Vacciné 2 doses,0
2021-07-20,10-19 ans,Non-vacciné,8
2021-07-20,10-19 ans,Vacciné 1 dose,2
2021-07-20,10-19 ans,Vacciné 2 doses,1
2021-07-20,20-29 ans,Non-vacciné,15
2021-07-20,20-29 ans,Vacciné 1 dose,14
2021-07-20,20-29 ans,Vacciné 2 doses,3
2021-07-20,30-39 ans,Non-vacciné,7
2021-07-20,30-39 ans,Vacciné 1 dose,4
2021-07-20,30-39 ans,Vacciné 2 doses,1
2021-07-20,40-49 ans,Non-vacciné,6
2021-07-20,40-49 ans,Vacciné 1 dose,4
2021-07-20,40-49 ans,Vacciné 2 doses,2
2021-07-20,50-59 ans,Non-vacciné,4
2021-07-20,50-59 ans,Vacciné 1 dose,3
2021-07-20,50-59 ans,Vacciné 2 doses,1
2021-07-20,60-69 ans,Non-vacciné,2
2021-07-20,60-69 ans,Vacciné 1 dose,1
2021-07-20,60-69 ans,Vacciné 2 doses,0
2021-07-20,70-79 ans,Non-vacciné,0
2021-07-20,70-79 ans,Vacciné 1 dose,1
2021-07-20,70-79 ans,Vacciné 2 doses,0
2021-07-20,80-89 ans,Non-vacciné,0
2021-07-20,80-89 ans,Vacciné 1 dose,0
2021-07-20,80-89 ans,Vacciné 2 doses,3
2021-07-20,90 ans et plus,Non-vacciné,0
2021-07-20,90 ans et plus,Vacciné 1 dose,0
2021-07-20,90 ans et plus,Vacciné 2 doses,0
2021-07-20,Inconnu,Non-vacciné,0
2021-07-20,Inconnu,Vacciné 1 dose,0
2021-07-20,Inconnu,Vacciné 2 doses,0
2021-07-21,0-9 ans,Non-vacciné,9
2021-07-21,0-9 ans,Vacciné 1 dose,0
2021-07-21,0-9 ans,Vacciné 2 doses,0
2021-07-21,10-19 ans,Non-vacciné,1
2021-07-21,10-19 ans,Vacciné 1 dose,2
2021-07-21,10-19 ans,Vacciné 2 doses,0
2021-07-21,20-29 ans,Non-vacciné,18
2021-07-21,20-29 ans,Vacciné 1 dose,11
2021-07-21,20-29 ans,Vacciné 2 doses,4
2021-07-21,30-39 ans,Non-vacciné,12
2021-07-21,30-39 ans,Vacciné 1 dose,5
2021-07-21,30-39 ans,Vacciné 2 doses,1
2021-07-21,40-49 ans,Non-vacciné,3
2021-07-21,40-49 ans,Vacciné 1 dose,1
2021-07-21,40-49 ans,Vacciné 2 doses,2
2021-07-21,50-59 ans,Non-vacciné,0
2021-07-21,50-59 ans,Vacciné 1 dose,4
2021-07-21,50-59 ans,Vacciné 2 doses,3
2021-07-21,60-69 ans,Non-vacciné,0
2021-07-21,60-69 ans,Vacciné 1 dose,1
2021-07-21,60-69 ans,Vacciné 2 doses,4
2021-07-21,70-79 ans,Non-vacciné,0
2021-07-21,70-79 ans,Vacciné 1 dose,0
2021-07-21,70-79 ans,Vacciné 2 doses,1
2021-07-21,80-89 ans,Non-vacciné,0
2021-07-21,80-89 ans,Vacciné 1 dose,0
2021-07-21,80-89 ans,Vacciné 2 doses,0
2021-07-21,90 ans et plus,Non-vacciné,0
2021-07-21,90 ans et plus,Vacciné 1 dose,0
2021-07-21,90 ans et plus,Vacciné 2 doses,0
2021-07-21,Inconnu,Non-vacciné,0
2021-07-21,Inconnu,Vacciné 1 dose,0
2021-07-21,Inconnu,Vacciné 2 doses,0
2021-07-22,0-9 ans,Non-vacciné,6
2021-07-22,0-9 ans,Vacciné 1 dose,0
2021-07-22,0-9 ans,Vacciné 2 doses,0
2021-07-22,10-19 ans,Non-vacciné,4
2021-07-22,10-19 ans,Vacciné 1 dose,7
2021-07-22,10-19 ans,Vacciné 2 doses,1
2021-07-22,20-29 ans,Non-vacciné,28
2021-07-22,20-29 ans,Vacciné 1 dose,21
2021-07-22,20-29 ans,Vacciné 2 doses,4
2021-07-22,30-39 ans,Non-vacciné,11
2021-07-22,30-39 ans,Vacciné 1 dose,2
2021-07-22,30-39 ans,Vacciné 2 doses,1
2021-07-22,40-49 ans,Non-vacciné,3
2021-07-22,40-49 ans,Vacciné 1 dose,5
2021-07-22,40-49 ans,Vacciné 2 doses,4
2021-07-22,50-59 ans,Non-vacciné,5
2021-07-22,50-59 ans,Vacciné 1 dose,1
2021-07-22,50-59 ans,Vacciné 2 doses,4
2021-07-22,60-69 ans,Non-vacciné,2
2021-07-22,60-69 ans,Vacciné 1 dose,1
2021-07-22,60-69 ans,Vacciné 2 doses,0
2021-07-22,70-79 ans,Non-vacciné,0
2021-07-22,70-79 ans,Vacciné 1 dose,1
2021-07-22,70-79 ans,Vacciné 2 doses,0
2021-07-22,80-89 ans,Non-vacciné,0
2021-07-22,80-89 ans,Vacciné 1 dose,0
2021-07-22,80-89 ans,Vacciné 2 doses,2
2021-07-22,90 ans et plus,Non-vacciné,0
2021-07-22,90 ans et plus,Vacciné 1 dose,0
2021-07-22,90 ans et plus,Vacciné 2 doses,0
2021-07-22,Inconnu,Non-vacciné,0
2021-07-22,Inconnu,Vacciné 1 dose,0
2021-07-22,Inconnu,Vacciné 2 doses,0
2021-07-23,0-9 ans,Non-vacciné,11
2021-07-23,0-9 ans,Vacciné 1 dose,0
2021-07-23,0-9 ans,Vacciné 2 doses,0
2021-07-23,10-19 ans,Non-vacciné,5
2021-07-23,10-19 ans,Vacciné 1 dose,4
2021-07-23,10-19 ans,Vacciné 2 doses,0
2021-07-23,20-29 ans,Non-vacciné,22
2021-07-23,20-29 ans,Vacciné 1 dose,10
2021-07-23,20-29 ans,Vacciné 2 doses,4
2021-07-23,30-39 ans,Non-vacciné,14
2021-07-23,30-39 ans,Vacciné 1 dose,6
2021-07-23,30-39 ans,Vacciné 2 doses,2
2021-07-23,40-49 ans,Non-vacciné,6
2021-07-23,40-49 ans,Vacciné 1 dose,4
2021-07-23,40-49 ans,Vacciné 2 doses,4
2021-07-23,50-59 ans,Non-vacciné,2
2021-07-23,50-59 ans,Vacciné 1 dose,1
2021-07-23,50-59 ans,Vacciné 2 doses,3
2021-07-23,60-69 ans,Non-vacciné,0
2021-07-23,60-69 ans,Vacciné 1 dose,1
2021-07-23,60-69 ans,Vacciné 2 doses,0
2021-07-23,70-79 ans,Non-vacciné,0
2021-07-23,70-79 ans,Vacciné 1 dose,1
2021-07-23,70-79 ans,Vacciné 2 doses,0
2021-07-23,80-89 ans,Non-vacciné,0
2021-07-23,80-89 ans,Vacciné 1 dose,0
2021-07-23,80-89 ans,Vacciné 2 doses,0
2021-07-23,90 ans et plus,Non-vacciné,0
2021-07-23,90 ans et plus,Vacciné 1 dose,0
2021-07-23,90 ans et plus,Vacciné 2 doses,0
2021-07-23,Inconnu,Non-vacciné,0
2021-07-23,Inconnu,Vacciné 1 dose,0
2021-07-23,Inconnu,Vacciné 2 doses,0
2021-07-24,0-9 ans,Non-vacciné,5
2021-07-24,0-9 ans,Vacciné 1 dose,0
2021-07-24,0-9 ans,Vacciné 2 doses,0
2021-07-24,10-19 ans,Non-vacciné,3
2021-07-24,10-19 ans,Vacciné 1 dose,0
2021-07-24,10-19 ans,Vacciné 2 doses,2
2021-07-24,20-29 ans,Non-vacciné,20
2021-07-24,20-29 ans,Vacciné 1 dose,10
2021-07-24,20-29 ans,Vacciné 2 doses,0
2021-07-24,30-39 ans,Non-vacciné,8
2021-07-24,30-39 ans,Vacciné 1 dose,6
2021-07-24,30-39 ans,Vacciné 2 doses,2
2021-07-24,40-49 ans,Non-vacciné,1
2021-07-24,40-49 ans,Vacciné 1 dose,4
2021-07-24,40-49 ans,Vacciné 2 doses,2
2021-07-24,50-59 ans,Non-vacciné,1
2021-07-24,50-59 ans,Vacciné 1 dose,3
2021-07-24,50-59 ans,Vacciné 2 doses,1
2021-07-24,60-69 ans,Non-vacciné,0
2021-07-24,60-69 ans,Vacciné 1 dose,1
2021-07-24,60-69 ans,Vacciné 2 doses,1
2021-07-24,70-79 ans,Non-vacciné,1
2021-07-24,70-79 ans,Vacciné 1 dose,0
2021-07-24,70-79 ans,Vacciné 2 doses,0
2021-07-24,80-89 ans,Non-vacciné,0
2021-07-24,80-89 ans,Vacciné 1 dose,0
2021-07-24,80-89 ans,Vacciné 2 doses,1
2021-07-24,90 ans et plus,Non-vacciné,0
2021-07-24,90 ans et plus,Vacciné 1 dose,0
2021-07-24,90 ans et plus,Vacciné 2 doses,0
2021-07-24,Inconnu,Non-vacciné,0
2021-07-24,Inconnu,Vacciné 1 dose,0
2021-07-24,Inconnu,Vacciné 2 doses,0
2021-07-25,0-9 ans,Non-vacciné,4
2021-07-25,0-9 ans,Vacciné 1 dose,0
2021-07-25,0-9 ans,Vacciné 2 doses,0
2021-07-25,10-19 ans,Non-vacciné,5
2021-07-25,10-19 ans,Vacciné 1 dose,2
2021-07-25,10-19 ans,Vacciné 2 doses,0
2021-07-25,20-29 ans,Non-vacciné,13
2021-07-25,20-29 ans,Vacciné 1 dose,8
2021-07-25,20-29 ans,Vacciné 2 doses,0
2021-07-25,30-39 ans,Non-vacciné,6
2021-07-25,30-39 ans,Vacciné 1 dose,1
2021-07-25,30-39 ans,Vacciné 2 doses,0
2021-07-25,40-49 ans,Non-vacciné,5
2021-07-25,40-49 ans,Vacciné 1 dose,3
2021-07-25,40-49 ans,Vacciné 2 doses,3
2021-07-25,50-59 ans,Non-vacciné,5
2021-07-25,50-59 ans,Vacciné 1 dose,2
2021-07-25,50-59 ans,Vacciné 2 doses,1
2021-07-25,60-69 ans,Non-vacciné,1
2021-07-25,60-69 ans,Vacciné 1 dose,0
2021-07-25,60-69 ans,Vacciné 2 doses,3
2021-07-25,70-79 ans,Non-vacciné,0
2021-07-25,70-79 ans,Vacciné 1 dose,0
2021-07-25,70-79 ans,Vacciné 2 doses,1
2021-07-25,80-89 ans,Non-vacciné,0
2021-07-25,80-89 ans,Vacciné 1 dose,0
2021-07-25,80-89 ans,Vacciné 2 doses,0
2021-07-25,90 ans et plus,Non-vacciné,0
2021-07-25,90 ans et plus,Vacciné 1 dose,0
2021-07-25,90 ans et plus,Vacciné 2 doses,0
2021-07-25,Inconnu,Non-vacciné,0
2021-07-25,Inconnu,Vacciné 1 dose,0
2021-07-25,Inconnu,Vacciné 2 doses,0
2021-07-26,0-9 ans,Non-vacciné,7
2021-07-26,0-9 ans,Vacciné 1 dose,0
2021-07-26,0-9 ans,Vacciné 2 doses,0
2021-07-26,10-19 ans,Non-vacciné,5
2021-07-26,10-19 ans,Vacciné 1 dose,5
2021-07-26,10-19 ans,Vacciné 2 doses,0
2021-07-26,20-29 ans,Non-vacciné,15
2021-07-26,20-29 ans,Vacciné 1 dose,13
2021-07-26,20-29 ans,Vacciné 2 doses,0
2021-07-26,30-39 ans,Non-vacciné,7
2021-07-26,30-39 ans,Vacciné 1 dose,3
2021-07-26,30-39 ans,Vacciné 2 doses,4
2021-07-26,40-49 ans,Non-vacciné,12
2021-07-26,40-49 ans,Vacciné 1 dose,7
2021-07-26,40-49 ans,Vacciné 2 doses,5
2021-07-26,50-59 ans,Non-vacciné,2
2021-07-26,50-59 ans,Vacciné 1 dose,3
2021-07-26,50-59 ans,Vacciné 2 doses,1
2021-07-26,60-69 ans,Non-vacciné,0
2021-07-26,60-69 ans,Vacciné 1 dose,1
2021-07-26,60-69 ans,Vacciné 2 doses,1
2021-07-26,70-79 ans,Non-vacciné,0
2021-07-26,70-79 ans,Vacciné 1 dose,0
2021-07-26,70-79 ans,Vacciné 2 doses,1
2021-07-26,80-89 ans,Non-vacciné,0
2021-07-26,80-89 ans,Vacciné 1 dose,0
2021-07-26,80-89 ans,Vacciné 2 doses,1
2021-07-26,90 ans et plus,Non-vacciné,0
2021-07-26,90 ans et plus,Vacciné 1 dose,0
2021-07-26,90 ans et plus,Vacciné 2 doses,1
2021-07-26,Inconnu,Non-vacciné,0
2021-07-26,Inconnu,Vacciné 1 dose,0
2021-07-26,Inconnu,Vacciné 2 doses,0
2021-07-27,0-9 ans,Non-vacciné,13
2021-07-27,0-9 ans,Vacciné 1 dose,0
2021-07-27,0-9 ans,Vacciné 2 doses,0
2021-07-27,10-19 ans,Non-vacciné,12
2021-07-27,10-19 ans,Vacciné 1 dose,1
2021-07-27,10-19 ans,Vacciné 2 doses,0
2021-07-27,20-29 ans,Non-vacciné,23
2021-07-27,20-29 ans,Vacciné 1 dose,18
2021-07-27,20-29 ans,Vacciné 2 doses,3
2021-07-27,30-39 ans,Non-vacciné,13
2021-07-27,30-39 ans,Vacciné 1 dose,7
2021-07-27,30-39 ans,Vacciné 2 doses,3
2021-07-27,40-49 ans,Non-vacciné,10
2021-07-27,40-49 ans,Vacciné 1 dose,5
2021-07-27,40-49 ans,Vacciné 2 doses,1
2021-07-27,50-59 ans,Non-vacciné,4
2021-07-27,50-59 ans,Vacciné 1 dose,3
2021-07-27,50-59 ans,Vacciné 2 doses,2
2021-07-27,60-69 ans,Non-vacciné,2
2021-07-27,60-69 ans,Vacciné 1 dose,1
2021-07-27,60-69 ans,Vacciné 2 doses,1
2021-07-27,70-79 ans,Non-vacciné,0
2021-07-27,70-79 ans,Vacciné 1 dose,0
2021-07-27,70-79 ans,Vacciné 2 doses,0
2021-07-27,80-89 ans,Non-vacciné,0
2021-07-27,80-89 ans,Vacciné 1 dose,0
2021-07-27,80-89 ans,Vacciné 2 doses,0
2021-07-27,90 ans et plus,Non-vacciné,0
2021-07-27,90 ans et plus,Vacciné 1 dose,0
2021-07-27,90 ans et plus,Vacciné 2 doses,0
2021-07-27,Inconnu,Non-vacciné,0
2021-07-27,Inconnu,Vacciné 1 dose,0
2021-07-27,Inconnu,Vacciné 2 doses,0
2021-07-28,0-9 ans,Non-vacciné,11
2021-07-28,0-9 ans,Vacciné 1 dose,0
2021-07-28,0-9 ans,Vacciné 2 doses,0
2021-07-28,10-19 ans,Non-vacciné,10
2021-07-28,10-19 ans,Vacciné 1 dose,3
2021-07-28,10-19 ans,Vacciné 2 doses,0
2021-07-28,20-29 ans,Non-vacciné,26
2021-07-28,20-29 ans,Vacciné 1 dose,10
2021-07-28,20-29 ans,Vacciné 2 doses,4
2021-07-28,30-39 ans,Non-vacciné,13
2021-07-28,30-39 ans,Vacciné 1 dose,8
2021-07-28,30-39 ans,Vacciné 2 doses,3
2021-07-28,40-49 ans,Non-vacciné,9
2021-07-28,40-49 ans,Vacciné 1 dose,4
2021-07-28,40-49 ans,Vacciné 2 doses,4
2021-07-28,50-59 ans,Non-vacciné,3
2021-07-28,50-59 ans,Vacciné 1 dose,4
2021-07-28,50-59 ans,Vacciné 2 doses,0
2021-07-28,60-69 ans,Non-vacciné,1
2021-07-28,60-69 ans,Vacciné 1 dose,1
2021-07-28,60-69 ans,Vacciné 2 doses,0
2021-07-28,70-79 ans,Non-vacciné,1
2021-07-28,70-79 ans,Vacciné 1 dose,0
2021-07-28,70-79 ans,Vacciné 2 doses,1
2021-07-28,80-89 ans,Non-vacciné,0
2021-07-28,80-89 ans,Vacciné 1 dose,0
2021-07-28,80-89 ans,Vacciné 2 doses,0
2021-07-28,90 ans et plus,Non-vacciné,0
2021-07-28,90 ans et plus,Vacciné 1 dose,0
2021-07-28,90 ans et plus,Vacciné 2 doses,0
2021-07-28,Inconnu,Non-vacciné,0
2021-07-28,Inconnu,Vacciné 1 dose,0
2021-07-28,Inconnu,Vacciné 2 doses,0
2021-07-29,0-9 ans,Non-vacciné,7
2021-07-29,0-9 ans,Vacciné 1 dose,0
2021-07-29,0-9 ans,Vacciné 2 doses,0
2021-07-29,10-19 ans,Non-vacciné,9
2021-07-29,10-19 ans,Vacciné 1 dose,2
2021-07-29,10-19 ans,Vacciné 2 doses,0
2021-07-29,20-29 ans,Non-vacciné,31
2021-07-29,20-29 ans,Vacciné 1 dose,9
2021-07-29,20-29 ans,Vacciné 2 doses,2
2021-07-29,30-39 ans,Non-vacciné,4
2021-07-29,30-39 ans,Vacciné 1 dose,4
2021-07-29,30-39 ans,Vacciné 2 doses,0
2021-07-29,40-49 ans,Non-vacciné,6
2021-07-29,40-49 ans,Vacciné 1 dose,5
2021-07-29,40-49 ans,Vacciné 2 doses,2
2021-07-29,50-59 ans,Non-vacciné,2
2021-07-29,50-59 ans,Vacciné 1 dose,1
2021-07-29,50-59 ans,Vacciné 2 doses,1
2021-07-29,60-69 ans,Non-vacciné,0
2021-07-29,60-69 ans,Vacciné 1 dose,1
2021-07-29,60-69 ans,Vacciné 2 doses,2
2021-07-29,70-79 ans,Non-vacciné,0
2021-07-29,70-79 ans,Vacciné 1 dose,0
2021-07-29,70-79 ans,Vacciné 2 doses,2
2021-07-29,80-89 ans,Non-vacciné,2
2021-07-29,80-89 ans,Vacciné 1 dose,0
2021-07-29,80-89 ans,Vacciné 2 doses,0
2021-07-29,90 ans et plus,Non-vacciné,0
2021-07-29,90 ans et plus,Vacciné 1 dose,0
2021-07-29,90 ans et plus,Vacciné 2 doses,0
2021-07-29,Inconnu,Non-vacciné,0
2021-07-29,Inconnu,Vacciné 1 dose,0
2021-07-29,Inconnu,Vacciné 2 doses,0
2021-07-30,0-9 ans,Non-vacciné,23
2021-07-30,0-9 ans,Vacciné 1 dose,0
2021-07-30,0-9 ans,Vacciné 2 doses,0
2021-07-30,10-19 ans,Non-vacciné,11
2021-07-30,10-19 ans,Vacciné 1 dose,11
2021-07-30,10-19 ans,Vacciné 2 doses,1
2021-07-30,20-29 ans,Non-vacciné,49
2021-07-30,20-29 ans,Vacciné 1 dose,11
2021-07-30,20-29 ans,Vacciné 2 doses,4
2021-07-30,30-39 ans,Non-vacciné,30
2021-07-30,30-39 ans,Vacciné 1 dose,5
2021-07-30,30-39 ans,Vacciné 2 doses,3
2021-07-30,40-49 ans,Non-vacciné,11
2021-07-30,40-49 ans,Vacciné 1 dose,8
2021-07-30,40-49 ans,Vacciné 2 doses,7
2021-07-30,50-59 ans,Non-vacciné,8
2021-07-30,50-59 ans,Vacciné 1 dose,6
2021-07-30,50-59 ans,Vacciné 2 doses,2
2021-07-30,60-69 ans,Non-vacciné,1
2021-07-30,60-69 ans,Vacciné 1 dose,2
2021-07-30,60-69 ans,Vacciné 2 doses,4
2021-07-30,70-79 ans,Non-vacciné,0
2021-07-30,70-79 ans,Vacciné 1 dose,0
2021-07-30,70-79 ans,Vacciné 2 doses,5
2021-07-30,80-89 ans,Non-vacciné,0
2021-07-30,80-89 ans,Vacciné 1 dose,0
2021-07-30,80-89 ans,Vacciné 2 doses,0
2021-07-30,90 ans et plus,Non-vacciné,0
2021-07-30,90 ans et plus,Vacciné 1 dose,0
2021-07-30,90 ans et plus,Vacciné 2 doses,0
2021-07-30,Inconnu,Non-vacciné,0
2021-07-30,Inconnu,Vacciné 1 dose,0
2021-07-30,Inconnu,Vacciné 2 doses,0
2021-07-31,0-9 ans,Non-vacciné,12
2021-07-31,0-9 ans,Vacciné 1 dose,0
2021-07-31,0-9 ans,Vacciné 2 doses,0
2021-07-31,10-19 ans,Non-vacciné,16
2021-07-31,10-19 ans,Vacciné 1 dose,5
2021-07-31,10-19 ans,Vacciné 2 doses,2
2021-07-31,20-29 ans,Non-vacciné,20
2021-07-31,20-29 ans,Vacciné 1 dose,8
2021-07-31,20-29 ans,Vacciné 2 doses,5
2021-07-31,30-39 ans,Non-vacciné,18
2021-07-31,30-39 ans,Vacciné 1 dose,3
2021-07-31,30-39 ans,Vacciné 2 doses,4
2021-07-31,40-49 ans,Non-vacciné,15
2021-07-31,40-49 ans,Vacciné 1 dose,2
2021-07-31,40-49 ans,Vacciné 2 doses,7
2021-07-31,50-59 ans,Non-vacciné,3
2021-07-31,50-59 ans,Vacciné 1 dose,4
2021-07-31,50-59 ans,Vacciné 2 doses,4
2021-07-31,60-69 ans,Non-vacciné,2
2021-07-31,60-69 ans,Vacciné 1 dose,2
2021-07-31,60-69 ans,Vacciné 2 doses,0
2021-07-31,70-79 ans,Non-vacciné,0
2021-07-31,70-79 ans,Vacciné 1 dose,0
2021-07-31,70-79 ans,Vacciné 2 doses,2
2021-07-31,80-89 ans,Non-vacciné,0
2021-07-31,80-89 ans,Vacciné 1 dose,1
2021-07-31,80-89 ans,Vacciné 2 doses,0
2021-07-31,90 ans et plus,Non-vacciné,0
2021-07-31,90 ans et plus,Vacciné 1 dose,0
2021-07-31,90 ans et plus,Vacciné 2 doses,0
2021-07-31,Inconnu,Non-vacciné,0
2021-07-31,Inconnu,Vacciné 1 dose,0
2021-07-31,Inconnu,Vacciné 2 doses,0
2021-08-01,0-9 ans,Non-vacciné,24
2021-08-01,0-9 ans,Vacciné 1 dose,0
2021-08-01,0-9 ans,Vacciné 2 doses,0
2021-08-01,10-19 ans,Non-vacciné,11
2021-08-01,10-19 ans,Vacciné 1 dose,7
2021-08-01,10-19 ans,Vacciné 2 doses,1
2021-08-01,20-29 ans,Non-vacciné,24
2021-08-01,20-29 ans,Vacciné 1 dose,13
2021-08-01,20-29 ans,Vacciné 2 doses,1
2021-08-01,30-39 ans,Non-vacciné,11
2021-08-01,30-39 ans,Vacciné 1 dose,6
2021-08-01,30-39 ans,Vacciné 2 doses,4
2021-08-01,40-49 ans,Non-vacciné,4
2021-08-01,40-49 ans,Vacciné 1 dose,1
2021-08-01,40-49 ans,Vacciné 2 doses,4
2021-08-01,50-59 ans,Non-vacciné,3
2021-08-01,50-59 ans,Vacciné 1 dose,3
2021-08-01,50-59 ans,Vacciné 2 doses,2
2021-08-01,60-69 ans,Non-vacciné,2
2021-08-01,60-69 ans,Vacciné 1 dose,0
2021-08-01,60-69 ans,Vacciné 2 doses,0
2021-08-01,70-79 ans,Non-vacciné,1
2021-08-01,70-79 ans,Vacciné 1 dose,0
2021-08-01,70-79 ans,Vacciné 2 doses,2
2021-08-01,80-89 ans,Non-vacciné,0
2021-08-01,80-89 ans,Vacciné 1 dose,0
2021-08-01,80-89 ans,Vacciné 2 doses,0
2021-08-01,90 ans et plus,Non-vacciné,0
2021-08-01,90 ans et plus,Vacciné 1 dose,0
2021-08-01,90 ans et plus,Vacciné 2 doses,0
2021-08-01,Inconnu,Non-vacciné,0
2021-08-01,Inconnu,Vacciné 1 dose,0
2021-08-01,Inconnu,Vacciné 2 doses,0
2021-08-02,0-9 ans,Non-vacciné,20
2021-08-02,0-9 ans,Vacciné 1 dose,0
2021-08-02,0-9 ans,Vacciné 2 doses,0
2021-08-02,10-19 ans,Non-vacciné,14
2021-08-02,10-19 ans,Vacciné 1 dose,5
2021-08-02,10-19 ans,Vacciné 2 doses,1
2021-08-02,20-29 ans,Non-vacciné,23
2021-08-02,20-29 ans,Vacciné 1 dose,20
2021-08-02,20-29 ans,Vacciné 2 doses,5
2021-08-02,30-39 ans,Non-vacciné,24
2021-08-02,30-39 ans,Vacciné 1 dose,8
2021-08-02,30-39 ans,Vacciné 2 doses,7
2021-08-02,40-49 ans,Non-vacciné,10
2021-08-02,40-49 ans,Vacciné 1 dose,7
2021-08-02,40-49 ans,Vacciné 2 doses,2
2021-08-02,50-59 ans,Non-vacciné,5
2021-08-02,50-59 ans,Vacciné 1 dose,2
2021-08-02,50-59 ans,Vacciné 2 doses,3
2021-08-02,60-69 ans,Non-vacciné,1
2021-08-02,60-69 ans,Vacciné 1 dose,0
2021-08-02,60-69 ans,Vacciné 2 doses,4
2021-08-02,70-79 ans,Non-vacciné,0
2021-08-02,70-79 ans,Vacciné 1 dose,0
2021-08-02,70-79 ans,Vacciné 2 doses,6
2021-08-02,80-89 ans,Non-vacciné,0
2021-08-02,80-89 ans,Vacciné 1 dose,0
2021-08-02,80-89 ans,Vacciné 2 doses,0
2021-08-02,90 ans et plus,Non-vacciné,1
2021-08-02,90 ans et plus,Vacciné 1 dose,0
2021-08-02,90 ans et plus,Vacciné 2 doses,0
2021-08-02,Inconnu,Non-vacciné,0
2021-08-02,Inconnu,Vacciné 1 dose,0
2021-08-02,Inconnu,Vacciné 2 doses,0
2021-08-03,0-9 ans,Non-vacciné,17
2021-08-03,0-9 ans,Vacciné 1 dose,0
2021-08-03,0-9 ans,Vacciné 2 doses,0
2021-08-03,10-19 ans,Non-vacciné,23
2021-08-03,10-19 ans,Vacciné 1 dose,6
2021-08-03,10-19 ans,Vacciné 2 doses,1
2021-08-03,20-29 ans,Non-vacciné,30
